30:87:D9:02:FA:C8,90:3A:72:25:03:C8,B4:79:C8:05:B9:A8,90:3A:72:24:EF:E8,18:7C:0B:8D:E4:28,B4:79:C8:38:AB:18,90:3A:72:24:E9:68,18:7C:0B:8D:E3:E8,D0:4F:58:52:D2:90,B4:79:C8:45:BA:58,B4:79:C8:45:C2:D8,30:87:D9:41:4E:88,B4:79:C8:85:BA:18,20:58:69:0E:B5:78,80:BC:37:63:DF:50,30:87:D9:81:3B:38,18:7C:0B:8D:E2:88,D0:4F:58:52:D2:A0,B4:79:C8:05:C2:38,Sala,B4:79:C8:45:B9:C8,30:87:D9:41:4A:48,B4:79:C8:45:B7:F8
-64,-64,-76,-90,0.0,0.0,0.0,0.0,0.0,-83.0,-92.0,0.0,-84.0,-93.0,-88.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0
-64,-79,-88,0,-88.0,0.0,0.0,0.0,-88.0,0.0,0.0,-85.0,0.0,-91.0,0.0,0.0,0.0,0.0,-93.0,13,0.0,0.0,0.0
-47,-64,-76,-86,0.0,0.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.0,0.0,0.0,12,0.0,0.0,0.0
-58,-64,-87,-86,-89.0,0.0,-89.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0
-65,-84,0,0,-88.0,0.0,-86.0,0.0,-85.0,0.0,0.0,0.0,0.0,-91.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0
-59,-63,-78,-87,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,0.0,0.0,-89.0,0.0,0.0,0.0,0.0,11,-89.0,0.0,0.0
-51,-70,-75,-86,-81.0,0.0,-91.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,0.0,0.0,10,0.0,0.0,0.0
-49,-61,-77,-90,0.0,0.0,-87.0,0.0,0.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,-89.0,-87.0,0.0
-61,-66,-74,-91,0.0,0.0,0.0,0.0,0.0,-85.0,0.0,0.0,0.0,-91.0,-88.0,0.0,0.0,0.0,0.0,11,-89.0,0.0,0.0
-61,-66,-86,-88,-87.0,0.0,-89.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0
-47,-72,-76,-89,-84.0,0.0,0.0,-86.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0
-60,-64,-74,-89,0.0,0.0,0.0,0.0,0.0,-85.0,0.0,0.0,0.0,-90.0,-88.0,0.0,0.0,0.0,0.0,11,-89.0,0.0,0.0
-56,-65,-86,-88,-79.0,-91.0,-90.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,0.0,0.0,12,0.0,0.0,0.0
-51,-70,-72,-83,-81.0,0.0,-91.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,0.0,0.0,10,0.0,0.0,0.0
-62,-77,-83,0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.0,0.0,0.0,10,0.0,0.0,0.0
